Episode,BaseStation,ASM_Mode,Throughput_UL,Throughput_DL,Power,Latency_UL,Latency_DL,Cell_Load
0,0,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
0,1,0,68.18181818181819,90.90909090909092,10.0,24.0,24.0,10
1,0,0,68.18181818181819,90.90909090909092,10.0,24.0,24.0,10
1,1,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
2,0,3,19.772727272727273,26.363636363636367,2.9,124.0,124.0,10
2,1,0,68.18181818181819,90.90909090909092,10.0,24.0,24.0,10
3,0,3,19.772727272727273,26.363636363636367,2.9,124.0,124.0,10
3,1,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
4,0,2,34.09090909090909,45.45454545454546,5.0,34.0,34.0,10
4,1,2,34.09090909090909,45.45454545454546,5.0,34.0,34.0,10
5,0,0,68.18181818181819,90.90909090909092,10.0,24.0,24.0,10
5,1,2,34.09090909090909,45.45454545454546,5.0,34.0,34.0,10
6,0,3,19.772727272727273,26.363636363636367,2.9,124.0,124.0,10
6,1,2,34.09090909090909,45.45454545454546,5.0,34.0,34.0,10
7,0,2,34.09090909090909,45.45454545454546,5.0,34.0,34.0,10
7,1,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
8,0,2,34.09090909090909,45.45454545454546,5.0,34.0,34.0,10
8,1,2,34.09090909090909,45.45454545454546,5.0,34.0,34.0,10
9,0,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
9,1,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
10,0,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
10,1,0,68.18181818181819,90.90909090909092,10.0,24.0,24.0,10
11,0,0,68.18181818181819,90.90909090909092,10.0,24.0,24.0,10
11,1,2,34.09090909090909,45.45454545454546,5.0,34.0,34.0,10
12,0,0,68.18181818181819,90.90909090909092,10.0,24.0,24.0,10
12,1,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
13,0,0,68.18181818181819,90.90909090909092,10.0,24.0,24.0,10
13,1,3,19.772727272727273,26.363636363636367,2.9,124.0,124.0,10
14,0,2,34.09090909090909,45.45454545454546,5.0,34.0,34.0,10
14,1,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
15,0,0,68.18181818181819,90.90909090909092,10.0,24.0,24.0,10
15,1,2,34.09090909090909,45.45454545454546,5.0,34.0,34.0,10
16,0,3,19.772727272727273,26.363636363636367,2.9,124.0,124.0,10
16,1,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
17,0,3,19.772727272727273,26.363636363636367,2.9,124.0,124.0,10
17,1,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
18,0,0,68.18181818181819,90.90909090909092,10.0,24.0,24.0,10
18,1,2,34.09090909090909,45.45454545454546,5.0,34.0,34.0,10
19,0,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
19,1,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
20,0,3,19.772727272727273,26.363636363636367,2.9,124.0,124.0,10
20,1,1,47.04545454545455,62.72727272727273,6.8999999999999995,25.0,25.0,10
21,0,0,68.18181818181819,90.90909090909092,10.0,24.0,24.0,10
